"hhid","hhsize","adult","child","poly","boy","girl","otheradult","porl_hh","spouseabroad_hh","mealdata_hhmin","hh_kcal","hh_protein","hh_fat","hh_carb","hh_calcium","hh_iron","sampletype","AE_OECD","agehead","sexhead","maritalhead","abroadhead","lithead","noschoolhead","secondschoolhead","agworkhead","BMIhead","I_kcalhead","agespouse","sexspouse","abroadspouse","litspouse","noschoolspouse","secondschoolspouse","agworkspouse","BMIspouse","I_kcalspouse","nonfoodexp_hhwk","nonfoodexp_hhwk_pc","nonfoodexp_hhwk_AE_OECD","foodpurch_hhwk","foodprod_hhwk","foodother_hhwk","foodtot_hhwk","foodpurch_hhwk_pc","foodpurch_hhwk_AE_OECD","foodtot_hhwk_pc","foodtot_hhwk_AE_OECD","foodshare","totexp_hhwk","hhds","nofood","hungrynight","hungryday","nonag_income","""hhid""","purchase_val","curr_val","ag_purchase_val","ag_curr_val","anysaving_pastyr","anysaving_curr","total_saving","anyloan","anyloan_curr","total_loan","market_val","area_planted","agsales","store_capacity_kg","nmo_anygrain","profit_12mon","hh_lat","treated_drinkwater","negshock_no","negshock_val","posshock_no","posshock_val","prog_ct","cash_received","inkind_val","tot_othinc","visit_sixmo","health_org","num_visited_sixmo","any_advice","advice1","advice2","advice3","advice4","any_grpdiscuss","discuss_topics1","discuss_topics2","discuss_topics3","discuss_topics4","dvcode","vcode","aeu","hhweightR1","popweightR1","hhsize_India_grp","hhsize_FAO_sample","hhsize_FAO_age","hhsize_FAO_grp","hhsize_IOM_grp","hhsize_IOM_sample"
1,4,3,1,0,1,0,1,0,0,10,7672.24248189953,326.03584227014,391.357566632147,1369.10012591961,2788.47613902683,326.895949203702,2,2.3,54,1,2,0,0,1,0,1,20.8770260889207,2139.08921810255,47,2,0,0,1,0,1,22.3522013367882,1765.26648845287,514.403846153846,128.600961538462,223.653846153846,979.380000114441,0,0,979.380000114441,244.84500002861,425.817391354105,244.84500002861,425.817391354105,0.655637027111446,1493.78384626829,7,0,0,0,7700,NA,NA,NA,NA,NA,0,0,0,1,1,3000,500000,40,3150,700,12,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,1081701,3.7399999499321,5917.39990234375,23669.599609375,3.55,3.4997470821986,3.78242728688916,3.82125857103474,3.69206908596934,3.31385600508988
2,3,3,0,0,0,0,1,0,0,0,3016.00548440741,138.694174785565,161.637057261264,521.377769775802,1321.22156194984,125.349585754315,2,2,48,1,2,0,0,1,0,1,22.2860417962692,1582.55022705219,42,2,0,1,0,0,0,21.4112518425935,1433.45525735522,320.096153846154,106.698717948718,160.048076923077,488.5,32.4,120,520.9,162.833333333333,244.25,173.633333333333,260.45,0.619384521103636,840.996153846154,6,0,0,0,3500,NA,NA,NA,NA,NA,0,0,0,0,0,0,80000,NA,NA,8,12,0,1,0,2,66000,1,0,NA,NA,NA,0,1,1,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,1081701,2.88999992609024,5917.39990234375,17752.19921875,1.63,1.71772744284191,1.76693954862049,1.76693954862049,1.73557720421761,1.62876749577323
3,4,4,0,0,0,0,2,0,0,0,3714.29830333609,167.941149832012,194.72448516232,656.546435862939,1482.77424746978,155.947247875472,2,2.5,45,1,2,0,1,0,0,0,21.6615387504623,NA,38,2,0,1,0,0,0,22.3768352502896,1642.45416061377,1640.90384615385,410.225961538462,656.361538461538,758,80.6,15,838.6,189.5,303.2,209.65,335.44,0.338212824836234,2479.50384615385,6,0,0,0,31000,NA,NA,NA,NA,NA,1,1,3000,1,1,42000,650000,117,0,800,12,240000,1,0,2,70000,1,100000,NA,NA,NA,2000,1,1,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,1081701,3.70999991893768,5917.39990234375,23669.599609375,2,1.5822603397477,1.81278785964354,1.81278785964354,1.78615930642013,1.55147208308103
4,4,4,0,0,0,0,3,0,0,6,2409.38861348456,71.6750812814374,21.426345149495,506.058613999392,198.245376936321,13.6687954860115,2,2.5,30,1,1,0,0,1,0,1,19.1406181526786,680.182182152676,NA,NA,NA,NA,NA,NA,NA,NA,NA,754.730769230769,188.682692307692,301.892307692308,527,330,0,857,131.75,210.8,214.25,342.8,0.531726524281112,1611.73076923077,6,0,0,0,16000,NA,NA,NA,NA,NA,0,0,0,0,0,0,855000,89,107750,400,12,0,1,0,1,35000,1,5000,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,1081701,3.69999992847443,5917.39990234375,23669.599609375,3.51,3.29847530431511,3.71946329868448,3.71946329868448,3.76548019658286,3.27624597038235
5,4,2,2,0,1,1,0,0,0,10,9178.76700347756,410.160279237263,474.318056035139,1577.39463546909,3688.67363746823,364.051543178949,2,2.1,53,1,2,0,1,0,0,1,23.119596358284,2806.26287830635,45,2,0,1,0,0,1,30.8825233950238,1086.82638805784,1511.5,377.875,719.761904761905,1851,716,10,2567,462.75,881.428571428571,641.75,1222.38095238095,0.629398063013363,4078.5,7,0,0,0,8500,NA,NA,NA,NA,NA,1,1,46000,1,1,1200,4097000,150,26100,800,12,0,1,0,NA,NA,NA,NA,NA,NA,NA,56000,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,1081701,3.36999994516373,5917.39990234375,23669.599609375,3.35,3.42099323264637,3.61944852009943,3.72202053013711,3.45449211727962,3.0878193334471
6,5,2,3,0,3,0,0,1,0,3,7666.55830156803,405.561667848522,410.64139940857,1232.3179544772,4415.72474982412,298.82262440195,2,2.4,42,1,2,0,0,1,0,1,21.6084391534466,2397.36852105356,25,2,0,0,0,0,1,22.3710326496823,2033.98857484789,398.826923076923,79.7653846153846,166.177884615385,810,272.15,10,1082.15,162,337.5,216.43,450.895833333333,0.730700109595018,1480.97692307692,7,0,0,0,4400,NA,NA,NA,NA,NA,1,1,40000,1,1,900,582000,30,0,300,12,12000,1,0,NA,NA,1,300,1,900,0,0,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,1081701,3.37999993562698,5917.39990234375,29587,4.02,2.99824361005698,3.32651232692899,3.33979286815093,3.2466903886376,2.84401657536593
7,3,2,1,0,1,0,0,1,0,3,2839.83285826708,126.208575421102,75.5044332984311,480.053965969997,1367.21736405877,29.0749105316706,2,1.8,33,1,2,0,1,0,1,0,27.4263411677701,1156.93917851743,21,2,0,1,0,1,0,19.8840622464896,1496.22209429602,2295.26923076923,765.089743589744,1275.14957264957,1204.30000001192,10.05,60,1214.35000001192,401.433333337307,669.055555562178,404.783333337307,674.638888895512,0.346006196159815,3509.61923078115,9,0,0,0,12000,NA,NA,NA,NA,NA,1,1,570000,1,1,1000000,3750000,40,115500,60,12,480000,1,0,NA,NA,NA,NA,NA,NA,NA,46000,1,4,2,1,8,NA,NA,NA,2,NA,NA,NA,NA,40,1081701,2.09999996423721,5917.39990234375,17752.19921875,2.17,1.67849928846806,1.60169503582313,1.60169503582313,1.59005526943893,1.71317753761156
8,4,3,1,0,0,1,1,0,0,5,7161.33144793614,262.495638797007,354.970628587032,1297.91219970325,2239.70895013588,234.523770666487,2,2.3,60,1,2,0,1,0,1,0,19.5736848689592,1719.3055015807,48,2,0,1,0,1,1,26.6405792905867,1365.596356863,1218.92307692308,304.730769230769,529.966555183947,1128.5,154.988888888889,120,1283.48888888889,282.125,490.652173913043,320.872222222222,558.038647342995,0.512900715958825,2502.41196581197,8,0,0,0,100,NA,NA,NA,NA,NA,1,1,920000,1,1,2000,1730000,NA,1000,320,12,0,1,0,1,200000,1,0,2,25200,0,90000,0,NA,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,1081701,2.8299999833107,5917.39990234375,23669.599609375,2.99,2.48921110662686,2.72374376304116,2.80995337124305,2.7879009522293,2.38538625585781
9,5,3,2,0,1,1,1,0,0,12,9893.87005119401,485.500476720305,498.343027534739,1680.4196466195,4483.61349258419,392.44588977873,2,2.6,40,1,2,0,1,0,0,1,20.5429567125392,2520.84933287401,30,2,0,1,0,0,0,24.6816146424728,2204.89037777658,447.653846153846,89.5307692307692,172.174556213018,1168,517.05,500,1685.05,233.6,449.230769230769,337.01,648.096153846154,0.790100324073991,2132.70384615385,8,0,0,0,10650,NA,NA,NA,NA,NA,1,1,5200,1,1,16000,200000,13,500,80,12,18000,1,0,2,65000,1,0,1,100,0,0,1,4,3,1,11,NA,NA,NA,2,NA,NA,NA,NA,40,1081701,3.63999992609024,5917.39990234375,29587,4.11,3.37276992556006,3.74650979470285,3.77992308628015,3.72112045261162,3.23291093153245
10,2,2,0,0,0,0,0,0,0,9,2847.84433621207,117.948789771516,143.051822708488,512.2595542144,1051.15480006564,115.100114493897,2,1.5,78,1,2,0,0,1,0,1,18.0208774871197,1722.97092231697,60,2,0,0,1,0,1,15.8125298853724,1124.8734138951,280.288461538462,140.144230769231,186.858974358974,373,3.52258064516129,224.305714285714,376.522580645161,186.5,248.666666666667,188.261290322581,251.015053763441,0.573258603255787,656.811042183623,7,0,0,0,10400,NA,NA,NA,NA,NA,0,0,0,1,1,72000,845000,41,300,20,12,0,1,0,NA,NA,NA,NA,2,3600,400,16000,1,4,1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,40,1081701,1.29000002145767,5917.39990234375,11834.7998046875,1.21,1.45380148910724,1.76097574144225,1.76097574144225,1.81974060749609,1.43166704032501
